Frame,YOLO Processing Time (s),Model Inference Time (s),Frame Processing Time (s)
0,2.2799766063690186,0.011711359024047852,2.2956840991973877
1,0.10530328750610352,0.007942914962768555,0.11757993698120117
2,0.09165406227111816,0.013761520385742188,0.10892891883850098
3,0.08724141120910645,0.014848709106445312,0.1059865951538086
4,0.08988499641418457,0.019636869430541992,0.11301565170288086
5,0.08679819107055664,0.020259380340576172,0.11046957969665527
6,0.0912024974822998,0.017067670822143555,0.11145639419555664
7,0.08605790138244629,0.01722097396850586,0.10588860511779785
8,0.0879373550415039,0.016701221466064453,0.10782241821289062
9,0.0865015983581543,0.01744222640991211,0.10665369033813477
10,0.08626818656921387,0.017086267471313477,0.10698318481445312
11,0.0856475830078125,0.01739192008972168,0.10599136352539062
12,0.08666753768920898,0.016164779663085938,0.10616827011108398
13,0.08766365051269531,0.01629495620727539,0.10700559616088867
14,0.08918023109436035,0.0215301513671875,0.11346244812011719
15,0.08653140068054199,0.019457578659057617,0.10886573791503906
16,0.08722209930419922,0.01989579200744629,0.10956621170043945
17,0.08760857582092285,0.026351451873779297,0.1176767349243164
18,0.08713388442993164,0.025583982467651367,0.11517333984375
19,0.08828043937683105,0.026282787322998047,0.11693358421325684
20,0.08807516098022461,0.02673649787902832,0.11832070350646973
21,0.0907588005065918,0.029027223587036133,0.12257528305053711
22,0.08865857124328613,0.03184008598327637,0.12245416641235352
23,0.08934712409973145,0.030601024627685547,0.12394475936889648
24,0.08987689018249512,0.02885580062866211,0.12306499481201172
25,0.09005284309387207,0.031044721603393555,0.12470865249633789
26,0.08900761604309082,0.028971195220947266,0.12026405334472656
27,0.08887887001037598,0.027805328369140625,0.1191565990447998
28,0.08887171745300293,0.0294950008392334,0.1211545467376709
29,0.08674240112304688,0.02747201919555664,0.11631464958190918
30,0.0887441635131836,0.0340425968170166,0.12565064430236816
31,0.0895543098449707,0.028872013092041016,0.12222003936767578
32,0.08925294876098633,0.034311771392822266,0.12604880332946777
33,0.0979621410369873,0.03241276741027832,0.13538122177124023
34,0.08910965919494629,0.03535819053649902,0.12834954261779785
35,0.09010839462280273,0.033905982971191406,0.1269853115081787
36,0.08814001083374023,0.039639949798583984,0.1309647560119629
37,0.08985042572021484,0.03950333595275879,0.13321781158447266
38,0.09131002426147461,0.038808345794677734,0.133073091506958
39,0.09044313430786133,0.03853034973144531,0.13206839561462402
40,0.0902564525604248,0.03375554084777832,0.1281297206878662
41,0.09067010879516602,0.03288149833679199,0.12638401985168457
42,0.08709955215454102,0.032790422439575195,0.12211132049560547
43,0.0879213809967041,0.03333091735839844,0.12458276748657227
44,0.08820390701293945,0.043280601501464844,0.13408422470092773
45,0.08968520164489746,0.035027503967285156,0.1309986114501953
46,0.08936905860900879,0.03681635856628418,0.1301403045654297
47,0.08977723121643066,0.04289698600769043,0.13540101051330566
48,0.09213972091674805,0.03626084327697754,0.13711166381835938
49,0.09228801727294922,0.03474235534667969,0.13075542449951172
50,0.09199333190917969,0.037821292877197266,0.13368821144104004
51,0.09171724319458008,0.03994464874267578,0.13478589057922363
52,0.0905454158782959,0.03841137886047363,0.13297009468078613
