Frame,YOLO Processing Time (s),Model Inference Time (s),Frame Processing Time (s)
0,1.3652632236480713,0.00791478157043457,1.3802845478057861
1,0.08192992210388184,0.009229421615600586,0.0951986312866211
2,0.07462787628173828,0.013081550598144531,0.09196734428405762
3,0.06619119644165039,0.012887954711914062,0.0834808349609375
4,0.06748652458190918,0.016937732696533203,0.08852672576904297
5,0.06612372398376465,0.017453432083129883,0.08710980415344238
6,0.06811738014221191,0.017849445343017578,0.08980560302734375
7,0.06672835350036621,0.01753520965576172,0.08721280097961426
8,0.06401300430297852,0.01895928382873535,0.08677363395690918
9,0.06407499313354492,0.01709771156311035,0.08576416969299316
10,0.06157231330871582,0.014463663101196289,0.07931828498840332
11,0.0638880729675293,0.016077280044555664,0.08380889892578125
12,0.05967450141906738,0.015090227127075195,0.07764601707458496
13,0.06064772605895996,0.014834165573120117,0.0777442455291748
14,0.06078290939331055,0.01805877685546875,0.08085179328918457
15,0.056359291076660156,0.018794775009155273,0.07738161087036133
16,0.05621528625488281,0.01808452606201172,0.07619237899780273
17,0.06096529960632324,0.020524263381958008,0.0838174819946289
18,0.0619204044342041,0.02109503746032715,0.08536291122436523
19,0.06158757209777832,0.02133345603942871,0.08496212959289551
20,0.05999279022216797,0.02031707763671875,0.08229494094848633
21,0.06288480758666992,0.023815393447875977,0.08887791633605957
22,0.05698394775390625,0.023897171020507812,0.08303070068359375
23,0.061827898025512695,0.0249636173248291,0.08896446228027344
24,0.05646967887878418,0.025066852569580078,0.08350610733032227
25,0.05655097961425781,0.024080991744995117,0.08265352249145508
26,0.06121635437011719,0.02349257469177246,0.08744144439697266
27,0.057271718978881836,0.024068355560302734,0.08361935615539551
28,0.06205558776855469,0.023840665817260742,0.08817815780639648
29,0.0609898567199707,0.023203372955322266,0.08632540702819824
30,0.06148529052734375,0.024138689041137695,0.08753371238708496
31,0.057723045349121094,0.023499488830566406,0.08317756652832031
32,0.05922389030456543,0.029660940170288086,0.09085345268249512
33,0.056999921798706055,0.028162240982055664,0.08727812767028809
34,0.05622148513793945,0.0280301570892334,0.08609461784362793
35,0.05804848670959473,0.03220820426940918,0.09235000610351562
36,0.058648109436035156,0.03373456001281738,0.09518051147460938
37,0.059241533279418945,0.03402543067932129,0.0960543155670166
38,0.061667680740356445,0.055985212326049805,0.11986160278320312
39,0.0642848014831543,0.03379058837890625,0.10242033004760742
40,0.06155228614807129,0.028892993927001953,0.0928804874420166
41,0.061985015869140625,0.029010534286499023,0.09370994567871094
42,0.06301355361938477,0.029625415802001953,0.09483551979064941
43,0.06259322166442871,0.03247189521789551,0.0977945327758789
44,0.06261205673217773,0.03101062774658203,0.09609699249267578
45,0.0616452693939209,0.030971765518188477,0.09488296508789062
46,0.06484222412109375,0.028267860412597656,0.0965566635131836
47,0.07099008560180664,0.03432917594909668,0.107574462890625
48,0.06924700736999512,0.03223824501037598,0.10427021980285645
49,0.06601452827453613,0.03409695625305176,0.10397791862487793
50,0.06550717353820801,0.03323006629943848,0.10209393501281738
51,0.06563258171081543,0.039795637130737305,0.10809063911437988
52,0.06218099594116211,0.027942895889282227,0.0923919677734375
53,0.0625765323638916,0.029038429260253906,0.0952603816986084
54,0.0634920597076416,0.032970428466796875,0.09945273399353027
55,0.0662851333618164,0.03222250938415527,0.10095715522766113
56,0.0680093765258789,0.031839609146118164,0.10227727890014648
57,0.06752514839172363,0.03425478935241699,0.10412836074829102
58,0.06693696975708008,0.030637025833129883,0.09974193572998047
59,0.0681612491607666,0.035239219665527344,0.10746240615844727
60,0.06516146659851074,0.02974534034729004,0.09750723838806152
61,0.06663274765014648,0.02913808822631836,0.0988929271697998
62,0.06728625297546387,0.0282137393951416,0.09815692901611328
63,0.06724429130554199,0.028668642044067383,0.09815049171447754
64,0.06597280502319336,0.02726292610168457,0.0957646369934082
65,0.06726670265197754,0.0310211181640625,0.10054588317871094
66,0.0693817138671875,0.03018331527709961,0.10155773162841797
67,0.06609606742858887,0.027832508087158203,0.09628820419311523
68,0.06941580772399902,0.037629127502441406,0.10903739929199219
69,0.06801009178161621,0.03336286544799805,0.10389089584350586
70,0.06722831726074219,0.03249764442443848,0.10184717178344727
71,0.07111167907714844,0.03336215019226074,0.10712313652038574
72,0.06748223304748535,0.03838372230529785,0.10803866386413574
73,0.06848692893981934,0.033888816833496094,0.10514354705810547
74,0.06684303283691406,0.03425145149230957,0.10288453102111816
75,0.06983757019042969,0.03469371795654297,0.10825800895690918
76,0.07142281532287598,0.03365945816040039,0.10746622085571289
77,0.06754803657531738,0.03262519836425781,0.10226297378540039
78,0.06855320930480957,0.029633760452270508,0.10016036033630371
79,0.06855559349060059,0.03321981430053711,0.10413885116577148
80,0.0706186294555664,0.03329110145568848,0.10608601570129395
81,0.06587982177734375,0.030457258224487305,0.09856128692626953
82,0.06595969200134277,0.031450748443603516,0.09953951835632324
83,0.06615304946899414,0.03146028518676758,0.09989762306213379
84,0.06663131713867188,0.02752232551574707,0.0962226390838623
85,0.06991243362426758,0.02737283706665039,0.09929609298706055
86,0.065765380859375,0.02791595458984375,0.09582233428955078
87,0.07186293601989746,0.03295016288757324,0.10856246948242188
88,0.06813979148864746,0.028827428817749023,0.10098099708557129
89,0.06836962699890137,0.03143310546875,0.10346388816833496
90,0.07268285751342773,0.031588077545166016,0.1069955825805664
91,0.06614947319030762,0.030454635620117188,0.09882402420043945
92,0.0682518482208252,0.029352903366088867,0.10076689720153809
93,0.07123517990112305,0.029257774353027344,0.10294032096862793
94,0.06827354431152344,0.03103017807006836,0.10121846199035645
95,0.06930184364318848,0.028647899627685547,0.10119009017944336
96,0.07039976119995117,0.02760934829711914,0.10034751892089844
97,0.06568694114685059,0.0267031192779541,0.09436798095703125
98,0.06467819213867188,0.026984214782714844,0.09374594688415527
99,0.06497883796691895,0.026922941207885742,0.09414792060852051
100,0.06630420684814453,0.026849031448364258,0.0952155590057373
101,0.0653238296508789,0.027324199676513672,0.09471511840820312
102,0.06520700454711914,0.02705860137939453,0.09449958801269531
103,0.0660088062286377,0.028678178787231445,0.09703350067138672
104,0.06849026679992676,0.026621103286743164,0.09737038612365723
105,0.07100534439086914,0.029499292373657227,0.10351395606994629
106,0.06631827354431152,0.029555559158325195,0.0982978343963623
107,0.07115817070007324,0.027598857879638672,0.10099482536315918
108,0.06701827049255371,0.027766942977905273,0.09705853462219238
109,0.06718873977661133,0.02710556983947754,0.09633541107177734
110,0.06924819946289062,0.027325153350830078,0.09870553016662598
111,0.06816387176513672,0.027289152145385742,0.09788680076599121
112,0.06950187683105469,0.026783227920532227,0.09837841987609863
113,0.07030153274536133,0.026760339736938477,0.09911346435546875
114,0.06763458251953125,0.0276792049407959,0.0973198413848877
115,0.06977009773254395,0.027775287628173828,0.09967970848083496
116,0.06575727462768555,0.027414321899414062,0.09561395645141602
117,0.06580829620361328,0.027454137802124023,0.09523367881774902
118,0.06519794464111328,0.026851415634155273,0.09401774406433105
119,0.06672477722167969,0.028296947479248047,0.09706234931945801
120,0.06550741195678711,0.02706313133239746,0.09457254409790039
121,0.0682532787322998,0.027112245559692383,0.0973520278930664
122,0.06570696830749512,0.026908397674560547,0.09488129615783691
123,0.06555795669555664,0.03071904182434082,0.09823799133300781
124,0.06658053398132324,0.031920433044433594,0.10134243965148926
125,0.06796717643737793,0.031403541564941406,0.10230088233947754
126,0.06606936454772949,0.030806779861450195,0.09902286529541016
127,0.06505751609802246,0.03464865684509277,0.10183858871459961
128,0.06646370887756348,0.03128361701965332,0.0999612808227539
129,0.07110857963562012,0.03259754180908203,0.10563349723815918
130,0.06550002098083496,0.034883737564086914,0.10231375694274902
131,0.07116103172302246,0.030776500701904297,0.10388708114624023
132,0.07101845741271973,0.035845041275024414,0.10883140563964844
133,0.0662071704864502,0.030956745147705078,0.09919524192810059
134,0.07161951065063477,0.03233814239501953,0.10623764991760254
135,0.06558704376220703,0.030339956283569336,0.0979623794555664
136,0.06641626358032227,0.030816078186035156,0.09946036338806152
137,0.06566834449768066,0.0300750732421875,0.0977773666381836
138,0.07023048400878906,0.02997565269470215,0.10228896141052246
139,0.0655667781829834,0.030002355575561523,0.09771728515625
140,0.06705641746520996,0.02987384796142578,0.09927010536193848
141,0.06972742080688477,0.03092217445373535,0.10266971588134766
142,0.06827616691589355,0.03126668930053711,0.1016087532043457
143,0.07075643539428711,0.031758785247802734,0.10452866554260254
144,0.0683138370513916,0.034470319747924805,0.10507011413574219
145,0.06614232063293457,0.0313115119934082,0.09962606430053711
146,0.06681323051452637,0.03202319145202637,0.10065579414367676
147,0.07039880752563477,0.028010845184326172,0.1004343032836914
148,0.06687402725219727,0.028059005737304688,0.09692668914794922
149,0.0699617862701416,0.028494596481323242,0.10052251815795898
150,0.06735777854919434,0.027878761291503906,0.09717178344726562
151,0.06920075416564941,0.02401256561279297,0.09521007537841797
152,0.06591248512268066,0.023646116256713867,0.0921328067779541
153,0.06674623489379883,0.024024248123168945,0.09305500984191895
154,0.06658411026000977,0.024726152420043945,0.09354758262634277
155,0.06481742858886719,0.02508068084716797,0.09220457077026367
156,0.06478714942932129,0.02534627914428711,0.09220457077026367
157,0.0640861988067627,0.021720170974731445,0.08782792091369629
158,0.06379961967468262,0.022389888763427734,0.08820557594299316
159,0.06473827362060547,0.020783662796020508,0.08754992485046387
160,0.06354570388793945,0.01909947395324707,0.08457708358764648
161,0.06953263282775879,0.02323007583618164,0.09495353698730469
162,0.06982183456420898,0.023073673248291016,0.09493732452392578
163,0.06407713890075684,0.022672414779663086,0.08907079696655273
164,0.0686185359954834,0.02395939826965332,0.09452676773071289
165,0.06276726722717285,0.024021148681640625,0.08884167671203613
166,0.06957316398620605,0.024439096450805664,0.09598016738891602
167,0.06857442855834961,0.02320098876953125,0.09379911422729492
168,0.06710672378540039,0.022310972213745117,0.09142827987670898
169,0.06370234489440918,0.019995689392089844,0.08569121360778809
170,0.06732845306396484,0.022370338439941406,0.09152579307556152
171,0.0660395622253418,0.02277660369873047,0.09094047546386719
172,0.06417632102966309,0.019644498825073242,0.08595037460327148
173,0.06307315826416016,0.023211956024169922,0.08840322494506836
174,0.05971956253051758,0.018819093704223633,0.08042693138122559
175,0.06371474266052246,0.023347139358520508,0.0890645980834961
176,0.059916019439697266,0.022799015045166016,0.08502078056335449
177,0.06043696403503418,0.01961541175842285,0.08223581314086914
178,0.0615544319152832,0.013933420181274414,0.07750654220581055
179,0.06496405601501465,0.015874624252319336,0.08309221267700195
180,0.06605410575866699,0.014060020446777344,0.08220553398132324
181,0.061185359954833984,0.015414714813232422,0.08020329475402832
182,0.06139492988586426,0.013393402099609375,0.07685160636901855
183,0.061797380447387695,0.015074729919433594,0.07898664474487305
184,0.058795928955078125,0.014902591705322266,0.0757443904876709
185,0.056997060775756836,0.014584779739379883,0.07417583465576172
186,0.06195425987243652,0.013942241668701172,0.07868695259094238
187,0.060271263122558594,0.017114877700805664,0.07973980903625488
188,0.05440664291381836,0.01796698570251465,0.07465648651123047
189,0.055988311767578125,0.013721942901611328,0.07196331024169922
190,0.05623126029968262,0.014443397521972656,0.07353019714355469
191,0.0616610050201416,0.01549220085144043,0.07906031608581543
192,0.06263923645019531,0.014388084411621094,0.0789496898651123
193,0.06151843070983887,0.01681995391845703,0.08107638359069824
194,0.054467201232910156,0.01553034782409668,0.07190966606140137
195,0.056110382080078125,0.014706850051879883,0.07367420196533203
196,0.07184219360351562,0.014412164688110352,0.0882411003112793
197,0.06067061424255371,0.0155792236328125,0.07816076278686523
198,0.05783247947692871,0.015238285064697266,0.07511186599731445
199,0.0547335147857666,0.015350103378295898,0.07213664054870605
200,0.05327892303466797,0.015712976455688477,0.07135200500488281
201,0.06380534172058105,0.014925718307495117,0.08107900619506836
202,0.06072592735290527,0.01486349105834961,0.07791543006896973
203,0.061051130294799805,0.015368223190307617,0.07862186431884766
204,0.06127190589904785,0.01949596405029297,0.08309006690979004
205,0.053398847579956055,0.018980741500854492,0.07457184791564941
206,0.0553593635559082,0.01934051513671875,0.07693815231323242
207,0.058530569076538086,0.018714189529418945,0.07923698425292969
208,0.06897139549255371,0.01904773712158203,0.09012484550476074
209,0.06577515602111816,0.018921852111816406,0.0873117446899414
210,0.057962656021118164,0.019945144653320312,0.07987141609191895
211,0.06556177139282227,0.019131183624267578,0.08664226531982422
212,0.059812068939208984,0.019987821578979492,0.08180689811706543
213,0.05402398109436035,0.01730060577392578,0.0734560489654541
214,0.05920863151550293,0.020845413208007812,0.08289504051208496
215,0.05737018585205078,0.02104473114013672,0.08039212226867676
216,0.05980849266052246,0.020865201950073242,0.08267378807067871
217,0.056432247161865234,0.02109980583190918,0.08052659034729004
218,0.053778648376464844,0.02566838264465332,0.08144092559814453
219,0.05630779266357422,0.026449918746948242,0.08483529090881348
220,0.054970741271972656,0.021239280700683594,0.07817316055297852
221,0.06239891052246094,0.020673274993896484,0.08578872680664062
222,0.05867505073547363,0.021007061004638672,0.08237242698669434
223,0.05574798583984375,0.020930051803588867,0.07863521575927734
224,0.06099891662597656,0.025115966796875,0.0881805419921875
225,0.0569911003112793,0.020547151565551758,0.0799260139465332
226,0.05702042579650879,0.020819425582885742,0.0805971622467041
227,0.055583953857421875,0.02200460433959961,0.08023452758789062
228,0.05556488037109375,0.0228121280670166,0.08055400848388672
229,0.05509448051452637,0.02044057846069336,0.07801342010498047
230,0.05578780174255371,0.022636890411376953,0.0807492733001709
231,0.05933570861816406,0.0208284854888916,0.08238863945007324
232,0.056453704833984375,0.021032333374023438,0.07944393157958984
233,0.058428287506103516,0.021419048309326172,0.08180713653564453
234,0.061400413513183594,0.022089242935180664,0.08570146560668945
235,0.06856751441955566,0.025335073471069336,0.0960700511932373
236,0.06555581092834473,0.022441387176513672,0.09012746810913086
237,0.062347412109375,0.02190399169921875,0.0862889289855957
238,0.06370282173156738,0.018310070037841797,0.08400774002075195
239,0.057306766510009766,0.018860578536987305,0.0790243148803711
240,0.05684328079223633,0.02068471908569336,0.07973074913024902
241,0.05948162078857422,0.020949840545654297,0.08283758163452148
242,0.05818057060241699,0.021038532257080078,0.08128666877746582
243,0.05529141426086426,0.018505573272705078,0.075927734375
244,0.05533170700073242,0.017650365829467773,0.07498979568481445
245,0.05587601661682129,0.019865036010742188,0.07777857780456543
246,0.0557713508605957,0.02069401741027832,0.07889699935913086
247,0.057373046875,0.020821332931518555,0.08053708076477051
248,0.05963587760925293,0.015637636184692383,0.07781195640563965
249,0.06431436538696289,0.020721912384033203,0.0874643325805664
250,0.06401896476745605,0.017907142639160156,0.08423662185668945
251,0.05603766441345215,0.021656274795532227,0.08063006401062012
252,0.0558016300201416,0.022082090377807617,0.08031845092773438
253,0.059259653091430664,0.024688005447387695,0.08636021614074707
254,0.06719207763671875,0.02397322654724121,0.09366297721862793
255,0.06436038017272949,0.024439096450805664,0.09166765213012695
256,0.056121110916137695,0.022000789642333984,0.08066558837890625
257,0.0647737979888916,0.02456212043762207,0.09167981147766113
258,0.06149721145629883,0.0271298885345459,0.09103679656982422
259,0.06856274604797363,0.024214744567871094,0.09611916542053223
260,0.06341767311096191,0.0190277099609375,0.08487081527709961
261,0.06266975402832031,0.018793821334838867,0.08383965492248535
262,0.06740641593933105,0.017549991607666016,0.08693957328796387
263,0.06247520446777344,0.020836591720581055,0.08639287948608398
264,0.06105828285217285,0.02112746238708496,0.08463120460510254
265,0.06496286392211914,0.021570682525634766,0.0885927677154541
266,0.06558513641357422,0.021680593490600586,0.08907270431518555
267,0.05808734893798828,0.02136993408203125,0.08165979385375977
268,0.05942988395690918,0.02109813690185547,0.0824122428894043
269,0.057688236236572266,0.018741846084594727,0.0784144401550293
270,0.06196022033691406,0.025760173797607422,0.08981490135192871
271,0.057618141174316406,0.023837804794311523,0.08343648910522461
272,0.057683467864990234,0.023774385452270508,0.0836629867553711
273,0.060639142990112305,0.023973703384399414,0.08659958839416504
274,0.06389164924621582,0.02473163604736328,0.09093618392944336
275,0.061716556549072266,0.027234315872192383,0.0910038948059082
276,0.0678713321685791,0.025074481964111328,0.09507608413696289
277,0.061681270599365234,0.024553775787353516,0.08836054801940918
278,0.0629281997680664,0.02428722381591797,0.08926606178283691
279,0.0668795108795166,0.023819923400878906,0.0927591323852539
280,0.06100893020629883,0.021085500717163086,0.084136962890625
281,0.06852388381958008,0.021761417388916016,0.09222221374511719
282,0.05884552001953125,0.027189016342163086,0.08814120292663574
283,0.06579065322875977,0.02696824073791504,0.09494638442993164
284,0.0584259033203125,0.031831979751586914,0.0921945571899414
285,0.06799149513244629,0.031549930572509766,0.10156488418579102
286,0.0594332218170166,0.03183746337890625,0.09320664405822754
287,0.06957602500915527,0.030919790267944336,0.10243940353393555
288,0.061128854751586914,0.0244295597076416,0.08774209022521973
289,0.07190632820129395,0.035222768783569336,0.10907888412475586
290,0.06881213188171387,0.02199864387512207,0.09494590759277344
291,0.061186790466308594,0.02129387855529785,0.08470606803894043
292,0.061093807220458984,0.022424697875976562,0.08553385734558105
293,0.06247520446777344,0.021952152252197266,0.0870521068572998
294,0.06093597412109375,0.024059772491455078,0.08709096908569336
295,0.06018781661987305,0.020673751831054688,0.08286666870117188
296,0.06096386909484863,0.022818565368652344,0.08641815185546875
297,0.06267428398132324,0.02076888084411621,0.08635687828063965
298,0.06393933296203613,0.01799941062927246,0.08388900756835938
299,0.060733795166015625,0.01815199851989746,0.08090639114379883
300,0.05905508995056152,0.015895366668701172,0.07750821113586426
301,0.062314510345458984,0.0202939510345459,0.08519315719604492
302,0.060463905334472656,0.02097487449645996,0.08443593978881836
303,0.0577702522277832,0.020834922790527344,0.08083057403564453
304,0.056510210037231445,0.02143549919128418,0.08035683631896973
305,0.06117820739746094,0.017899513244628906,0.08133244514465332
306,0.06527853012084961,0.019228219985961914,0.08635473251342773
307,0.0645601749420166,0.01936817169189453,0.08590888977050781
308,0.05605816841125488,0.020044565200805664,0.07816219329833984
309,0.05642342567443848,0.020447731018066406,0.07891559600830078
310,0.05592083930969238,0.019003629684448242,0.07740926742553711
311,0.059221506118774414,0.018544912338256836,0.07991647720336914
312,0.05945324897766113,0.02330303192138672,0.08496928215026855
313,0.06604480743408203,0.020920515060424805,0.08943700790405273
314,0.055892229080200195,0.02303314208984375,0.08103799819946289
315,0.05671191215515137,0.024095535278320312,0.0828087329864502
316,0.05472373962402344,0.0223996639251709,0.0794820785522461
