YOLO Processing Time (s),Model Inference Time (s),Frame Processing Time (s)
1.2411136627197266,0.0062978267669677734,1.2519817352294922
0.17642569541931152,0.005055665969848633,0.1851966381072998
0.09390807151794434,0.0056645870208740234,0.1038057804107666
0.09301519393920898,0.004212379455566406,0.09982800483703613
0.05719590187072754,0.005902528762817383,0.06645679473876953
0.05605959892272949,0.006652116775512695,0.06519722938537598
0.05412864685058594,0.00470280647277832,0.06280994415283203
0.054860591888427734,0.004785776138305664,0.06407952308654785
0.05282855033874512,0.005800962448120117,0.06487870216369629
0.05486726760864258,0.004683971405029297,0.06281661987304688
0.0548250675201416,0.005202054977416992,0.06261038780212402
0.05446505546569824,0.004906892776489258,0.06287145614624023
0.0598750114440918,0.005651950836181641,0.06757402420043945
0.05541586875915527,0.005492687225341797,0.06364083290100098
0.05549883842468262,0.0069353580474853516,0.06545400619506836
0.053571462631225586,0.0066721439361572266,0.06248140335083008
0.053914546966552734,0.006079435348510742,0.062235355377197266
0.056137800216674805,0.007703065872192383,0.06590032577514648
0.05390167236328125,0.007375240325927734,0.06437849998474121
0.058980464935302734,0.006895542144775391,0.06899046897888184
0.05439472198486328,0.00712895393371582,0.06429004669189453
0.05624580383300781,0.010064125061035156,0.06909346580505371
0.054407596588134766,0.009517669677734375,0.06650567054748535
0.057675838470458984,0.008864164352416992,0.07000851631164551
0.05466651916503906,0.009486675262451172,0.06686830520629883
0.05532550811767578,0.008239269256591797,0.06632566452026367
0.056882619857788086,0.009011268615722656,0.06870770454406738
0.054666757583618164,0.008439064025878906,0.06537389755249023
0.05566000938415527,0.008335113525390625,0.06624603271484375
0.05548501014709473,0.009401321411132812,0.06832575798034668
0.055712223052978516,0.00802922248840332,0.06614971160888672
0.057048797607421875,0.008653402328491211,0.06997275352478027
0.05527997016906738,0.011236429214477539,0.06977605819702148
0.05786943435668945,0.010480165481567383,0.07221484184265137
0.06434059143066406,0.013703346252441406,0.08032345771789551
0.06464958190917969,0.022730350494384766,0.09504127502441406
0.07684540748596191,0.015211820602416992,0.09704017639160156
0.05783581733703613,0.011410951614379883,0.07156944274902344
0.05860185623168945,0.013061761856079102,0.07376766204833984
0.05827474594116211,0.012856245040893555,0.07376408576965332
0.05824637413024902,0.009510993957519531,0.07039189338684082
0.05927896499633789,0.01088857650756836,0.07259011268615723
0.0549776554107666,0.00924539566040039,0.06605982780456543
0.0566709041595459,0.009969234466552734,0.06890416145324707
0.06766247749328613,0.022042274475097656,0.0918588638305664
0.07826709747314453,0.02629828453063965,0.11118412017822266
0.07610845565795898,0.021951913833618164,0.10362410545349121
0.06958603858947754,0.023247241973876953,0.09514379501342773
0.0653676986694336,0.013376235961914062,0.08391237258911133
0.06766557693481445,0.010438680648803711,0.08190512657165527
0.05810046195983887,0.01333928108215332,0.07379865646362305
0.06564188003540039,0.01635575294494629,0.08618927001953125
0.06324076652526855,0.008590459823608398,0.07727217674255371
0.057073354721069336,0.010532140731811523,0.07149863243103027
0.055619239807128906,0.010285377502441406,0.068328857421875
0.05617022514343262,0.01113128662109375,0.07018303871154785
0.05536246299743652,0.01061868667602539,0.06894731521606445
0.062232255935668945,0.010564327239990234,0.0751640796661377
0.061914682388305664,0.009963750839233398,0.07429170608520508
0.05921006202697754,0.010013103485107422,0.07163405418395996
0.059406280517578125,0.00928640365600586,0.07115817070007324
0.059808969497680664,0.009568929672241211,0.0717930793762207
0.06082963943481445,0.008650779724121094,0.07447648048400879
0.06065559387207031,0.008509397506713867,0.07124614715576172
0.06131148338317871,0.00895833969116211,0.0735311508178711
0.059996843338012695,0.010215520858764648,0.07251763343811035
0.06072354316711426,0.00936269760131836,0.07270097732543945
0.059594154357910156,0.009769439697265625,0.07160711288452148
0.05951285362243652,0.010556936264038086,0.07232141494750977
0.06033158302307129,0.011729001998901367,0.07454156875610352
0.059090375900268555,0.00938725471496582,0.07192492485046387
0.0695340633392334,0.010692834854125977,0.08279705047607422
