Frame,YOLO Processing Time (s),Model Inference Time (s),Frame Processing Time (s)
0,1.2628815174102783,0.009845733642578125,1.2780048847198486
1,0.1154792308807373,0.008684396743774414,0.1297295093536377
2,0.10548090934753418,0.016475200653076172,0.12700819969177246
3,0.10007405281066895,0.016444921493530273,0.12055349349975586
4,0.10703539848327637,0.02072286605834961,0.13350152969360352
5,0.09740900993347168,0.020145654678344727,0.1209554672241211
6,0.05200505256652832,0.022672414779663086,0.07824063301086426
7,0.05375194549560547,0.02161884307861328,0.07901549339294434
8,0.060332536697387695,0.028860092163085938,0.09218692779541016
9,0.06707882881164551,0.02503490447998047,0.09728193283081055
10,0.05711507797241211,0.02147054672241211,0.08290982246398926
11,0.05862593650817871,0.026044845581054688,0.08841943740844727
12,0.06391239166259766,0.028076648712158203,0.09713125228881836
13,0.08151841163635254,0.041268110275268555,0.13117623329162598
14,0.07575035095214844,0.04020547866821289,0.12229537963867188
15,0.07788777351379395,0.027793169021606445,0.11141180992126465
16,0.05939030647277832,0.02524542808532715,0.08959102630615234
17,0.05256509780883789,0.027243852615356445,0.08303165435791016
18,0.048795223236083984,0.025630950927734375,0.07699060440063477
19,0.048642635345458984,0.02737879753112793,0.07916617393493652
20,0.047698259353637695,0.026587724685668945,0.07670712471008301
21,0.0553736686706543,0.031128406524658203,0.09099650382995605
22,0.05537676811218262,0.031129837036132812,0.08968472480773926
23,0.052426815032958984,0.03150796890258789,0.08699274063110352
24,0.05301022529602051,0.0334169864654541,0.08850526809692383
25,0.05193209648132324,0.03385138511657715,0.08813261985778809
26,0.06133532524108887,0.036353349685668945,0.10128331184387207
27,0.062181711196899414,0.034358978271484375,0.10018539428710938
28,0.05737495422363281,0.03041219711303711,0.09049487113952637
29,0.0558619499206543,0.030659914016723633,0.08946800231933594
30,0.05700826644897461,0.03103327751159668,0.09060263633728027
31,0.0632317066192627,0.03441905975341797,0.10008430480957031
32,0.06698179244995117,0.044669389724731445,0.11516141891479492
33,0.06826138496398926,0.038892269134521484,0.11017370223999023
34,0.06612110137939453,0.03968358039855957,0.10949897766113281
35,0.06405067443847656,0.076812744140625,0.14621853828430176
36,0.09653496742248535,0.09500908851623535,0.19749212265014648
37,0.10498213768005371,0.07501077651977539,0.18433666229248047
38,0.07893967628479004,0.07738399505615234,0.16333842277526855
39,0.0836489200592041,0.07393264770507812,0.16272258758544922
40,0.07026815414428711,0.03387904167175293,0.10879778861999512
41,0.06537771224975586,0.03616499900817871,0.10422635078430176
42,0.06735014915466309,0.03432464599609375,0.10459494590759277
43,0.06591057777404785,0.03479456901550293,0.10353541374206543
44,0.07071113586425781,0.037455081939697266,0.11173439025878906
45,0.06688690185546875,0.0347592830657959,0.10407328605651855
46,0.06968474388122559,0.03497600555419922,0.10779261589050293
47,0.07314443588256836,0.03736090660095215,0.11313962936401367
48,0.07179760932922363,0.0354459285736084,0.11018037796020508
49,0.06991243362426758,0.03437232971191406,0.10705184936523438
50,0.07181644439697266,0.034140825271606445,0.10858368873596191
51,0.06982803344726562,0.03535580635070801,0.10803055763244629
52,0.07505273818969727,0.03542780876159668,0.11339712142944336
53,0.07097792625427246,0.0346682071685791,0.10808706283569336
54,0.07306599617004395,0.03920125961303711,0.1156923770904541
55,0.07349991798400879,0.03834700584411621,0.11480093002319336
56,0.07516670227050781,0.04073309898376465,0.11825871467590332
57,0.07567310333251953,0.03796195983886719,0.1159048080444336
58,0.07501411437988281,0.03803586959838867,0.11490702629089355
59,0.07213354110717773,0.03899335861206055,0.11337447166442871
60,0.07479715347290039,0.04327201843261719,0.12078857421875
61,0.07057738304138184,0.03455376625061035,0.10795474052429199
61,0.07292556762695312,0.028766632080078125,0.10486841201782227
61,0.07050180435180664,0.029301881790161133,0.10186219215393066
61,0.07090878486633301,0.028934240341186523,0.10196709632873535
61,0.0742194652557373,0.03458118438720703,0.11100459098815918
61,0.07236051559448242,0.03448343276977539,0.10930895805358887
61,0.10577583312988281,0.032132625579833984,0.139937162399292
60,0.10960936546325684,0.03050827980041504,0.14424800872802734
58,0.10543298721313477,0.03143954277038574,0.13908982276916504
56,0.1016848087310791,0.031365394592285156,0.1355152130126953
55,0.08791923522949219,0.030888795852661133,0.12073469161987305
55,0.05490851402282715,0.03639507293701172,0.09431290626525879
54,0.05651521682739258,0.031043291091918945,0.08997821807861328
54,0.05348777770996094,0.036998748779296875,0.0934438705444336
54,0.054814815521240234,0.03430438041687012,0.0918419361114502
54,0.05524325370788574,0.03542971611022949,0.09313654899597168
54,0.05882525444030762,0.03971052169799805,0.10119986534118652
54,0.057572364807128906,0.032250404357910156,0.09166097640991211
54,0.05880403518676758,0.0378718376159668,0.0991816520690918
54,0.05699419975280762,0.044544219970703125,0.10478734970092773
54,0.05405378341674805,0.035935401916503906,0.0926203727722168
54,0.05399632453918457,0.03426003456115723,0.09042692184448242
54,0.052890777587890625,0.03426194190979004,0.08965897560119629
55,0.05359959602355957,0.03276252746582031,0.08855938911437988
56,0.0529787540435791,0.033477783203125,0.08914637565612793
57,0.05481266975402832,0.03273725509643555,0.09082651138305664
58,0.05859661102294922,0.035184383392333984,0.09753632545471191
59,0.05642271041870117,0.03492236137390137,0.09491372108459473
60,0.05637240409851074,0.03395700454711914,0.09363555908203125
61,0.06081652641296387,0.03525114059448242,0.09818649291992188
62,0.06357765197753906,0.03582191467285156,0.10283708572387695
63,0.06061720848083496,0.033519744873046875,0.09613752365112305
